time,prediction,actual
2022-06-06 16:00:00,2210.7495,2221.03
2022-06-06 17:00:00,2462.569,2475.39
2022-06-06 18:00:00,2612.6724,2576.61
2022-06-06 19:00:00,2661.3098,2628.24
2022-06-06 20:00:00,2671.1199,2663.26
2022-06-06 21:00:00,2566.5945,2560.48
2022-06-06 22:00:00,2362.5186,2377.31
2022-06-06 23:00:00,2171.047,2181.9
2022-06-07 00:00:00,2083.3176,2133.4
2022-06-07 01:00:00,1993.4205,2000.83
2022-06-07 02:00:00,1919.6211,1966.36
2022-06-07 03:00:00,1890.0764,1905.43
2022-06-07 04:00:00,1919.361,1919.05
2022-06-07 05:00:00,1992.1177,1991.4
2022-06-07 06:00:00,2135.311,2166.19
2022-06-07 07:00:00,2315.0042,2357.48
2022-06-07 08:00:00,2313.716,2338.9
2022-06-07 09:00:00,2146.0981,2016.68
2022-06-07 10:00:00,1955.0981,1838.34
2022-06-07 11:00:00,1849.4933,1690.75
2022-06-07 12:00:00,1775.7812,1714.25
2022-06-07 13:00:00,1716.4717,1795.22
2022-06-07 14:00:00,1752.0634,1839.14
2022-06-07 15:00:00,1891.0211,2040.8
2022-06-07 16:00:00,2285.1074,2149.2
2022-06-07 17:00:00,2534.9116,2311.73
2022-06-07 18:00:00,2656.7935,2486.25
2022-06-07 19:00:00,2727.5078,2563.8
2022-06-07 20:00:00,2719.38,2615.53
2022-06-07 21:00:00,2594.2517,2514.29
2022-06-07 22:00:00,2395.725,2335.86
2022-06-07 23:00:00,2208.8137,2186.15
2022-06-08 00:00:00,2120.3303,2097.98
2022-06-08 01:00:00,2022.231,1970.86
2022-06-08 02:00:00,1942.633,1899.69
2022-06-08 03:00:00,1900.4768,1865.1
