Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/1/2021,1,9644.63,9684.68,2042.95,74.97,21447.23
1/1/2021,2,9252.45,9315.38,1939.96,75.01,20582.80
1/1/2021,3,8977.65,9013.84,1862.01,76.60,19930.11
1/1/2021,4,8829.85,8883.72,1829.31,78.42,19621.31
1/1/2021,5,8845.55,8851.99,1831.50,81.84,19610.89
1/1/2021,6,9054.78,9016.93,1889.11,88.04,20048.86
1/1/2021,7,9475.68,9241.19,1972.92,93.74,20783.53
1/1/2021,8,9669.89,9131.54,1989.59,95.98,20887.01
1/1/2021,9,9417.91,8885.33,1829.88,88.88,20222.00
1/1/2021,10,8981.60,8569.80,1673.25,79.34,19303.99
1/1/2021,11,8619.33,8276.50,1542.01,72.29,18510.12
1/1/2021,12,8423.01,8097.93,1458.29,64.59,18043.83
1/1/2021,13,8407.21,8015.16,1453.77,60.61,17936.75
1/1/2021,14,8511.41,8156.56,1522.22,57.17,18247.37
1/1/2021,15,8787.40,8409.46,1687.42,55.96,18940.24
1/1/2021,16,9269.12,8896.30,1846.31,57.16,20068.87
1/1/2021,17,10236.13,9758.20,2166.87,64.81,22226.00
1/1/2021,18,11430.46,11056.75,2509.30,75.54,25072.06
1/1/2021,19,11575.51,11205.40,2523.83,78.64,25383.37
1/1/2021,20,11449.45,11125.57,2456.97,81.58,25113.57
1/1/2021,21,11151.37,10955.54,2392.49,82.45,24581.85
1/1/2021,22,10778.97,10717.38,2276.28,82.33,23854.96
1/1/2021,23,10167.75,10211.40,2160.86,80.72,22620.73
1/1/2021,24,9564.64,9664.39,1990.14,80.37,21299.55
1/2/2021,1,9247.59,9390.93,1918.79,80.57,20637.88
1/2/2021,2,8883.43,9110.16,1837.26,82.51,19913.36
1/2/2021,3,8673.60,8892.31,1785.82,85.83,19437.55
1/2/2021,4,8583.84,8794.84,1789.58,89.40,19257.66
1/2/2021,5,8639.83,8862.81,1789.70,95.18,19387.52
1/2/2021,6,8866.32,9067.90,1852.10,100.35,19886.67
1/2/2021,7,9306.55,9366.83,1940.49,106.14,20720.01
1/2/2021,8,9636.27,9428.03,2023.49,109.12,21196.93
1/2/2021,9,9701.95,9367.89,1993.08,102.69,21165.61
1/2/2021,10,9838.83,9010.83,1816.53,89.86,20756.05
1/2/2021,11,9970.29,8739.50,1718.76,78.87,20507.44
1/2/2021,12,10094.30,8604.41,1624.96,69.54,20393.21
1/2/2021,13,10074.96,8627.97,1608.61,62.58,20374.13
1/2/2021,14,10175.10,8800.47,1654.35,59.38,20689.31
1/2/2021,15,10170.95,9148.32,1769.07,57.35,21145.70
1/2/2021,16,10404.71,9525.31,1983.13,57.09,21970.23
1/2/2021,17,11001.76,10173.85,2176.36,65.97,23417.95
1/2/2021,18,11999.29,11341.84,2504.95,75.84,25921.92
1/2/2021,19,12087.53,11442.93,2554.89,79.11,26164.46
1/2/2021,20,11715.55,11332.34,2522.60,81.26,25651.75
1/2/2021,21,11306.97,11042.18,2415.26,82.94,24847.35
1/2/2021,22,10881.76,10732.90,2331.53,83.55,24029.74
1/2/2021,23,10259.23,10228.74,2169.29,81.95,22739.20
1/2/2021,24,9596.43,9741.06,2021.64,82.01,21441.14
1/3/2021,1,9207.41,9350.57,1942.33,82.75,20583.06
1/3/2021,2,8836.72,9004.60,1856.42,83.63,19781.36
1/3/2021,3,8612.57,8772.09,1796.31,84.69,19265.66
1/3/2021,4,8505.24,8664.71,1798.01,86.02,19053.98
1/3/2021,5,8567.70,8720.47,1795.01,88.40,19171.57
1/3/2021,6,8741.30,8897.29,1839.51,93.29,19571.39
1/3/2021,7,9068.05,9140.81,1927.22,98.52,20234.60
1/3/2021,8,9383.66,9191.43,1941.96,101.68,20618.72
1/3/2021,9,9440.02,9261.72,1931.36,93.96,20727.06
1/3/2021,10,9298.73,8974.78,1767.49,83.55,20124.55
1/3/2021,11,9147.71,8749.07,1630.13,73.37,19600.29
1/3/2021,12,9038.64,8677.15,1461.99,65.92,19243.70
1/3/2021,13,9030.16,8556.17,1413.76,61.14,19061.24
1/3/2021,14,9114.46,8689.74,1506.88,57.94,19369.02
1/3/2021,15,9290.87,8862.08,1660.36,56.79,19870.10
1/3/2021,16,9798.35,9234.29,1875.42,57.01,20965.10
1/3/2021,17,10590.25,10011.32,2215.25,65.07,22881.88
1/3/2021,18,11794.46,11299.80,2561.39,75.00,25730.64
1/3/2021,19,11908.45,11494.78,2582.07,76.87,26062.17
1/3/2021,20,11648.92,11372.42,2521.03,77.91,25620.27
1/3/2021,21,11300.09,11118.50,2412.90,77.85,24909.34
1/3/2021,22,10780.07,10752.40,2324.21,76.01,23932.68
1/3/2021,23,10098.83,10242.06,2132.48,73.13,22546.50
1/3/2021,24,9405.53,9699.68,1987.32,72.69,21165.22
1/4/2021,1,9014.70,9237.20,1914.78,73.27,20239.95
1/4/2021,2,8790.55,9005.16,1838.31,73.92,19707.94
1/4/2021,3,8648.45,8863.38,1804.42,75.24,19391.49
1/4/2021,4,8607.75,8907.64,1801.66,79.53,19396.59
1/4/2021,5,8833.37,9209.56,1861.91,84.81,19989.65
1/4/2021,6,9394.83,9824.69,2004.39,91.82,21315.73
1/4/2021,7,10318.57,10703.59,2249.28,100.59,23372.03
1/4/2021,8,10963.04,11043.47,2403.88,103.54,24513.93
1/4/2021,9,11249.50,11149.57,2329.28,95.16,24823.50
1/4/2021,10,11183.48,10753.72,2071.45,83.40,24092.04
1/4/2021,11,11318.52,10385.69,1865.52,73.85,23643.59
1/4/2021,12,11368.47,10214.09,1786.77,65.64,23434.96
1/4/2021,13,11346.16,10158.42,1760.48,62.00,23327.06
1/4/2021,14,11096.52,10223.88,1896.76,58.81,23275.98
1/4/2021,15,10863.47,10350.69,2081.28,57.71,23353.15
1/4/2021,16,10970.58,10568.15,2266.79,59.27,23864.78
1/4/2021,17,11431.80,11096.91,2504.90,63.18,25096.80
1/4/2021,18,12461.27,12155.23,2744.51,72.76,27433.77
1/4/2021,19,12582.18,12247.01,2746.90,74.07,27650.16
1/4/2021,20,12241.42,12060.05,2648.86,74.47,27024.80
1/4/2021,21,11822.69,11668.52,2529.90,72.63,26093.74
1/4/2021,22,11220.21,11278.58,2414.98,71.73,24985.51
1/4/2021,23,10575.49,10661.83,2203.67,69.87,23510.87
1/4/2021,24,9906.18,10096.14,2037.96,69.09,22109.37
1/5/2021,1,9480.07,9717.56,1950.59,69.33,21217.56
1/5/2021,2,9178.24,9412.49,1881.58,70.83,20543.14
1/5/2021,3,9013.76,9222.80,1819.67,73.87,20130.09
1/5/2021,4,9004.27,9174.19,1819.50,79.94,20077.90
1/5/2021,5,9287.07,9432.97,1855.92,86.32,20662.28
1/5/2021,6,9890.54,9979.01,1994.76,95.64,21959.95
1/5/2021,7,10807.71,10777.38,2223.12,106.57,23914.76
1/5/2021,8,11581.41,11287.46,2395.73,107.52,25372.13
1/5/2021,9,11583.70,11290.68,2420.46,96.44,25391.28
1/5/2021,10,11018.01,11035.77,2202.60,84.52,24340.91
1/5/2021,11,10430.90,10570.77,2039.48,74.37,23115.51
1/5/2021,12,9893.67,10281.11,1964.50,67.14,22206.42
1/5/2021,13,9617.12,10189.62,1939.99,61.58,21808.30
1/5/2021,14,9745.94,10242.60,1988.77,58.51,22035.82
1/5/2021,15,10113.42,10452.42,2109.37,57.68,22732.88
