Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/1/2022,1,10194.36,9931.73,2084.72,92.85,22303.67
1/1/2022,2,9864.37,9542.54,1989.79,94.39,21491.08
1/1/2022,3,9640.65,9386.28,1918.94,95.85,21041.72
1/1/2022,4,9811.09,9136.57,1831.52,96.77,20875.96
1/1/2022,5,9832.34,9150.23,1818.13,100.71,20901.42
1/1/2022,6,10024.35,9287.29,1863.45,104.90,21279.99
1/1/2022,7,10443.93,9507.40,1895.50,110.67,21957.50
1/1/2022,8,10695.79,9474.22,1841.65,110.73,22122.39
1/1/2022,9,10679.12,9420.43,1801.76,102.59,22003.90
1/1/2022,10,10237.35,9265.99,1650.10,94.67,21248.11
1/1/2022,11,9607.31,9101.50,1470.22,86.66,20265.70
1/1/2022,12,9163.20,8589.66,1325.99,79.30,19158.14
1/1/2022,13,8963.81,8582.08,1349.25,72.45,18967.59
1/1/2022,14,8963.41,8601.37,1399.34,68.42,19032.54
1/1/2022,15,9389.45,8991.74,1650.43,66.92,20098.55
1/1/2022,16,9809.81,9171.26,1823.39,72.17,20876.63
1/1/2022,17,10641.88,10017.57,2112.29,82.15,22853.89
1/1/2022,18,11924.04,11204.62,2439.77,94.46,25662.89
1/1/2022,19,12225.75,11497.02,2493.91,98.08,26314.76
1/1/2022,20,12092.54,11516.82,2465.01,101.81,26176.18
1/1/2022,21,11931.66,11406.33,2412.15,103.08,25853.22
1/1/2022,22,11666.62,11238.13,2344.25,101.41,25350.41
1/1/2022,23,11146.05,10803.40,2201.83,98.92,24250.20
1/1/2022,24,10533.69,10328.91,2058.84,98.00,23019.44
1/2/2022,1,10121.11,9900.21,2019.14,98.70,22139.16
1/2/2022,2,9887.17,9615.66,1940.58,100.53,21543.94
1/2/2022,3,9944.51,9347.54,1894.56,104.34,21290.94
1/2/2022,4,9878.94,9392.65,1825.71,107.72,21205.02
1/2/2022,5,10075.50,9315.92,1874.73,112.57,21378.73
1/2/2022,6,10319.24,9549.23,1930.90,119.41,21918.78
1/2/2022,7,10768.30,9852.04,2007.78,127.05,22755.17
1/2/2022,8,11102.07,10002.48,2003.16,127.98,23235.68
1/2/2022,9,10916.03,9939.36,1901.83,115.12,22872.33
1/2/2022,10,10631.02,9575.38,1709.45,101.23,22017.09
1/2/2022,11,10021.51,9152.05,1461.31,88.18,20723.05
1/2/2022,12,9570.86,8834.32,1342.69,78.33,19826.21
1/2/2022,13,9319.19,8852.59,1284.90,71.27,19527.94
1/2/2022,14,9479.16,8851.88,1329.24,66.98,19727.26
1/2/2022,15,9794.36,8965.07,1575.55,65.73,20400.71
1/2/2022,16,10163.64,9255.05,1944.05,68.34,21431.08
1/2/2022,17,11287.62,10274.25,2209.32,80.42,23851.61
1/2/2022,18,12534.77,11584.20,2531.40,92.87,26743.24
1/2/2022,19,12646.32,11880.61,2584.70,98.17,27209.80
1/2/2022,20,12466.24,11874.42,2546.92,101.64,26989.22
1/2/2022,21,12179.88,11771.97,2483.88,103.93,26539.67
1/2/2022,22,11751.78,11511.95,2395.64,102.39,25761.76
1/2/2022,23,11097.68,10977.22,2224.50,100.39,24399.79
1/2/2022,24,10383.05,10366.43,2068.21,100.00,22917.69
1/3/2022,1,9942.80,9997.33,2071.76,101.01,22112.91
1/3/2022,2,9644.22,9775.24,1989.43,103.48,21512.37
1/3/2022,3,9529.02,9569.63,2104.89,107.14,21310.67
1/3/2022,4,9550.04,9674.48,2069.91,111.41,21405.84
1/3/2022,5,9751.43,9993.79,1980.75,117.50,21843.46
1/3/2022,6,10402.67,10713.21,2165.40,126.25,23407.53
1/3/2022,7,11295.12,11539.55,2367.68,135.39,25337.73
1/3/2022,8,11956.14,12005.51,2463.80,134.45,26559.91
1/3/2022,9,11760.30,11963.78,2360.59,123.56,26208.23
1/3/2022,10,11405.79,11597.88,2023.02,104.90,25131.59
1/3/2022,11,11371.11,11266.99,1673.41,90.33,24401.85
1/3/2022,12,11324.73,10697.28,1492.84,82.20,23597.04
1/3/2022,13,11336.99,10764.75,1555.95,78.91,23736.61
1/3/2022,14,11377.61,10734.97,1628.05,76.62,23817.25
1/3/2022,15,11604.66,10733.14,1791.51,78.47,24207.79
1/3/2022,16,11970.79,10807.36,2057.59,82.05,24917.78
1/3/2022,17,12599.96,11502.96,2395.33,91.63,26589.88
1/3/2022,18,13471.80,12631.53,2774.03,100.22,28977.58
1/3/2022,19,13434.08,12822.64,2805.22,101.98,29163.91
1/3/2022,20,13102.87,12742.47,2749.86,103.73,28698.93
1/3/2022,21,12658.62,12556.62,2661.71,103.44,27980.39
1/3/2022,22,12099.77,12159.44,2530.11,101.56,26890.89
1/3/2022,23,11275.62,11494.24,2333.57,98.76,25202.19
1/3/2022,24,10492.24,10841.37,2152.53,97.38,23583.52
1/4/2022,1,10011.44,10308.91,2087.90,97.50,22505.74
1/4/2022,2,9652.95,10063.69,2014.05,98.99,21829.67
1/4/2022,3,9587.74,9999.38,2108.78,102.36,21798.26
1/4/2022,4,9522.39,9878.04,2135.42,105.84,21641.68
1/4/2022,5,9620.02,10238.55,2047.10,111.55,22017.22
1/4/2022,6,10205.01,10800.46,2179.83,119.77,23305.07
1/4/2022,7,11151.23,11654.70,2439.83,129.17,25374.93
1/4/2022,8,11618.80,11949.03,2512.84,129.51,26210.18
1/4/2022,9,11633.63,12119.38,2421.98,115.55,26290.54
1/4/2022,10,11487.55,11916.89,2287.49,99.36,25791.29
1/4/2022,11,11111.38,11495.53,1874.75,85.99,24567.65
1/4/2022,12,10741.18,10926.20,1598.28,76.60,23342.26
1/4/2022,13,10682.73,10680.06,1546.90,69.13,22978.81
1/4/2022,14,10638.35,10615.83,1564.30,64.96,22883.43
1/4/2022,15,10732.27,10772.64,1717.53,63.50,23285.93
1/4/2022,16,10929.92,10886.05,2045.80,65.35,23927.13
1/4/2022,17,11771.09,11623.81,2446.69,74.76,25916.35
1/4/2022,18,12820.71,12698.33,2778.81,86.80,28384.65
1/4/2022,19,12882.76,12802.74,2807.42,91.19,28584.11
1/4/2022,20,12592.02,12714.75,2750.12,94.13,28151.02
1/4/2022,21,12205.70,12485.68,2653.93,95.51,27440.83
1/4/2022,22,11659.01,12095.69,2521.26,94.74,26370.70
1/4/2022,23,10996.19,11399.53,2313.39,92.39,24801.51
1/4/2022,24,10267.88,10751.69,2137.31,91.42,23248.30
1/5/2022,1,9891.94,10332.35,2080.93,92.40,22397.62
1/5/2022,2,9554.85,10039.88,2143.98,93.42,21832.13
1/5/2022,3,9334.39,9861.91,2048.76,96.95,21342.01
1/5/2022,4,9320.50,9865.19,2126.24,100.59,21412.51
1/5/2022,5,9529.38,10144.70,2006.51,106.89,21787.48
1/5/2022,6,10081.00,10637.41,2147.87,116.12,22982.40
1/5/2022,7,11056.34,11513.85,2405.39,125.55,25101.12
1/5/2022,8,11824.75,11961.08,2453.43,124.41,26363.67
1/5/2022,9,11812.18,12156.03,2231.13,109.06,26308.38
1/5/2022,10,11353.66,11887.48,2031.44,94.09,25366.67
1/5/2022,11,10800.88,11419.10,1906.76,81.45,24208.18
1/5/2022,12,10365.49,10957.58,1638.70,72.22,23033.99
1/5/2022,13,10139.08,10734.66,1599.65,65.43,22538.82
1/5/2022,14,10178.28,10764.47,1589.24,60.29,22592.27
1/5/2022,15,10517.34,10917.98,1749.86,58.78,23243.95
1/5/2022,16,10906.94,11092.36,2051.81,59.71,24110.82
1/5/2022,17,11768.57,11730.05,2404.90,68.46,25971.98
1/5/2022,18,12757.14,12494.42,2739.24,78.78,28069.58
1/5/2022,19,12838.19,12533.99,2731.38,81.81,28185.35
1/5/2022,20,12556.46,12416.22,2668.16,84.01,27724.85
1/5/2022,21,12149.94,12163.78,2568.85,84.48,26967.05
1/5/2022,22,11642.95,11792.31,2450.72,83.73,25969.71
1/5/2022,23,10892.89,11171.06,2250.40,81.94,24396.28
1/5/2022,24,10194.01,10560.35,2070.71,80.99,22906.06
1/6/2022,1,9810.61,10098.33,2071.67,81.71,22062.32
1/6/2022,2,9555.65,9794.50,1937.21,83.80,21371.16
1/6/2022,3,9353.72,9656.76,1890.87,86.67,20988.03
1/6/2022,4,9316.87,9673.06,1885.88,90.31,20966.12
1/6/2022,5,9531.40,9864.03,1933.61,96.49,21425.53
1/6/2022,6,10028.83,10443.82,2069.65,105.28,22647.58
1/6/2022,7,10984.89,11351.93,2314.44,114.48,24765.74
1/6/2022,8,11741.94,11732.03,2402.47,116.14,25992.59
1/6/2022,9,11822.89,11607.86,2142.02,100.30,25673.08
1/6/2022,10,11591.74,11305.28,1978.06,86.48,24961.56
1/6/2022,11,11326.39,11092.71,1652.20,75.26,24146.56
1/6/2022,12,11156.33,10899.34,1669.81,66.40,23791.88
1/6/2022,13,11000.75,10849.62,1580.91,60.24,23491.52
1/6/2022,14,10773.18,11043.84,1685.84,56.66,23559.52
1/6/2022,15,10861.69,11112.51,1853.83,55.34,23883.37
1/6/2022,16,11270.33,11086.60,2061.97,56.01,24474.91
1/6/2022,17,11993.65,11609.01,2368.12,62.24,26033.03
1/6/2022,18,12835.54,12453.53,2666.69,71.59,28027.35
1/6/2022,19,12851.98,12495.53,2674.41,74.48,28096.41
1/6/2022,20,12529.22,12229.40,2599.03,76.21,27433.85
1/6/2022,21,12109.00,11964.46,2503.74,77.06,26654.27
1/6/2022,22,11604.08,11649.29,2379.42,76.40,25709.19
1/6/2022,23,10891.94,11051.70,2195.97,75.76,24215.37
1/6/2022,24,10184.92,10529.45,2022.00,74.65,22811.02
1/7/2022,1,9866.15,9938.55,1980.35,75.72,21860.77
1/7/2022,2,9609.72,9684.82,1886.41,77.59,21258.54
1/7/2022,3,9456.39,9511.91,1904.32,80.88,20953.51
1/7/2022,4,9442.66,9460.61,1896.88,84.97,20885.12
1/7/2022,5,9586.50,9785.12,1998.36,91.31,21461.29
1/7/2022,6,10147.49,10303.57,2082.41,99.67,22633.15
1/7/2022,7,11058.18,11193.10,2260.34,107.55,24619.17
1/7/2022,8,11764.72,11640.10,2332.47,106.78,25844.08
1/7/2022,9,12027.16,11813.17,2370.91,90.31,26301.55
1/7/2022,10,12057.56,11626.26,2280.52,76.15,26040.48
1/7/2022,11,11895.11,11712.76,1962.79,65.17,25635.83
1/7/2022,12,11627.82,11356.64,1896.27,57.62,24938.34
1/7/2022,13,11593.05,11351.47,1927.63,53.22,24925.37
1/7/2022,14,11593.71,11376.15,2007.16,53.14,25030.17
1/7/2022,15,11518.38,11318.92,2129.65,52.07,25019.02
1/7/2022,16,11483.44,11299.03,2396.20,57.11,25235.78
1/7/2022,17,11787.93,11789.03,2586.06,64.78,26227.80
1/7/2022,18,12617.80,12609.55,2703.04,69.65,28000.04
1/7/2022,19,12671.61,12544.33,2679.24,69.76,27964.93
1/7/2022,20,12352.96,12343.99,2599.29,68.77,27365.01
1/7/2022,21,12015.50,12012.52,2521.24,68.16,26617.42
1/7/2022,22,11614.17,11624.35,2384.84,66.18,25689.54
1/7/2022,23,11024.56,10988.81,2228.58,63.25,24305.21
1/7/2022,24,10314.47,10361.90,2050.68,61.65,22788.70
1/8/2022,1,10002.63,9875.51,1973.61,61.01,21912.76
1/8/2022,2,9682.04,9407.28,1885.84,61.51,21036.66
1/8/2022,3,9441.40,9267.38,1819.05,65.10,20592.94
1/8/2022,4,9334.83,9094.02,1781.02,68.66,20278.53
1/8/2022,5,9495.58,9153.85,1789.73,73.98,20513.13
1/8/2022,6,9686.93,9316.48,1849.79,80.68,20933.88
1/8/2022,7,10171.61,9721.71,1940.10,88.60,21922.02
1/8/2022,8,10632.77,9858.74,1992.28,88.95,22572.75
1/8/2022,9,10804.71,10085.93,2028.69,79.87,22999.21
1/8/2022,10,10515.56,9933.20,1977.24,70.26,22496.26
1/8/2022,11,10138.99,9715.57,1870.92,62.12,21787.60
1/8/2022,12,9859.92,9454.47,1666.22,56.20,21036.81
1/8/2022,13,9623.46,9286.44,1533.50,52.88,20496.28
1/8/2022,14,9438.54,9220.23,1628.40,51.14,20338.31
1/8/2022,15,9544.14,9433.38,1760.82,51.25,20789.59
1/8/2022,16,9946.57,9763.63,2022.02,53.58,21785.80
1/8/2022,17,10900.40,10370.17,2242.34,61.07,23573.99
1/8/2022,18,12025.96,11428.15,2489.64,70.87,26014.63
1/8/2022,19,12249.22,11555.47,2504.57,71.94,26381.19
1/8/2022,20,12062.68,11491.97,2451.04,74.02,26079.71
1/8/2022,21,11804.47,11312.97,2374.49,75.81,25567.74
1/8/2022,22,11460.22,11070.44,2282.43,75.87,24888.96
1/8/2022,23,10876.83,10606.29,2140.91,75.74,23699.77
1/8/2022,24,10273.09,10155.30,2014.67,75.76,22518.82
1/9/2022,1,9937.37,9750.62,1936.26,78.12,21702.38
1/9/2022,2,9733.43,9400.32,1863.69,80.24,21077.68
1/9/2022,3,9441.39,9277.39,1888.42,83.54,20690.74
1/9/2022,4,9372.42,9154.34,1863.44,87.48,20477.68
1/9/2022,5,9516.73,9125.24,1798.80,92.65,20533.42
1/9/2022,6,9726.19,9361.66,1842.42,99.68,21029.95
1/9/2022,7,10142.70,9651.63,1928.11,106.68,21829.12
1/9/2022,8,10531.19,9664.28,1906.41,108.13,22210.01
1/9/2022,9,10422.04,9532.62,1772.74,96.26,21823.66
1/9/2022,10,9848.89,9522.87,1650.26,83.76,21105.77
1/9/2022,11,9096.86,9468.43,1539.63,71.92,20176.85
1/9/2022,12,8557.02,9064.25,1478.77,63.25,19163.29
1/9/2022,13,8325.08,9003.51,1538.09,57.28,18923.97
1/9/2022,14,8357.36,8955.12,1628.32,53.99,18994.79
1/9/2022,15,8671.67,9078.63,1774.52,53.29,19578.11
1/9/2022,16,9445.36,9321.01,1968.35,55.65,20790.38
1/9/2022,17,10876.30,10071.70,2241.42,63.85,23253.27
1/9/2022,18,12158.29,11241.96,2477.21,74.63,25952.10
1/9/2022,19,12330.36,11380.52,2541.58,77.31,26329.77
1/9/2022,20,12139.02,11305.70,2445.85,80.50,25971.06
1/9/2022,21,11836.59,11025.90,2364.35,81.95,25308.79
1/9/2022,22,11427.64,10746.34,2260.30,82.32,24516.60
1/9/2022,23,10729.17,10179.65,2103.20,81.53,23093.54
1/9/2022,24,10028.58,9642.82,1984.93,82.00,21738.33
1/10/2022,1,9742.42,9442.94,1957.51,83.35,21226.22
1/10/2022,2,9569.87,9136.91,1900.53,85.30,20692.61
1/10/2022,3,9390.47,9053.06,1871.02,88.91,20403.47
1/10/2022,4,9322.60,9108.52,1889.05,92.52,20412.68
1/10/2022,5,9592.44,9490.11,1878.52,99.72,21060.79
1/10/2022,6,10256.68,10104.09,2026.31,108.83,22495.91
1/10/2022,7,11327.03,11080.60,2261.91,120.00,24789.53
1/10/2022,8,12229.65,11735.10,2312.61,119.69,26397.06
1/10/2022,9,12223.65,11811.63,2231.01,105.15,26371.44
1/10/2022,10,11550.17,12038.50,2260.89,91.99,25941.56
1/10/2022,11,10721.85,11985.83,2125.67,77.81,24911.16
1/10/2022,12,10138.10,11652.36,2003.46,65.65,23859.56
1/10/2022,13,9688.78,11516.18,2021.16,60.39,23286.51
1/10/2022,14,9672.90,11407.44,2016.31,63.06,23159.71
1/10/2022,15,9797.21,11315.83,2250.90,64.33,23428.27
1/10/2022,16,10468.53,11246.85,2445.80,62.87,24224.05
1/10/2022,17,11522.01,11714.54,2641.02,73.00,25950.58
1/10/2022,18,12648.57,12576.83,2709.22,82.50,28017.12
1/10/2022,19,12826.48,12572.49,2695.50,85.96,28180.43
1/10/2022,20,12572.08,12401.73,2610.83,88.32,27672.96
1/10/2022,21,12182.73,12087.93,2488.28,89.45,26848.39
1/10/2022,22,11691.12,11606.28,2351.97,88.82,25738.19
1/10/2022,23,10940.31,10921.26,2177.12,86.12,24124.81
1/10/2022,24,10241.12,10312.38,2032.51,84.64,22670.65
1/11/2022,1,9905.13,10010.74,2138.41,85.84,22140.11
1/11/2022,2,9656.23,9673.60,1966.01,88.48,21384.32
1/11/2022,3,9600.68,9467.78,1904.42,92.77,21065.67
1/11/2022,4,9528.77,9393.56,1868.49,97.20,20888.02
1/11/2022,5,9779.50,9628.94,1926.33,104.37,21439.14
1/11/2022,6,10464.93,10258.83,2012.54,114.85,22851.15
1/11/2022,7,11597.42,11214.95,2250.65,125.60,25188.62
1/11/2022,8,12408.26,11612.12,2374.55,124.25,26519.18
1/11/2022,9,12039.87,11553.38,2185.92,108.02,25887.19
1/11/2022,10,11212.25,11426.55,1823.32,91.97,24554.08
1/11/2022,11,10413.50,10992.36,1579.42,78.94,23064.22
1/11/2022,12,9883.03,10715.38,1474.21,69.38,22142.01
1/11/2022,13,9715.21,10627.11,1549.19,62.85,21954.37
1/11/2022,14,9806.27,10841.70,1637.23,58.74,22343.94
1/11/2022,15,10028.50,10956.62,1818.61,57.18,22860.91
1/11/2022,16,10639.51,11091.43,2124.98,57.97,23913.90
1/11/2022,17,11498.83,11596.60,2426.42,65.50,25587.36
1/11/2022,18,12665.16,12413.27,2641.05,77.81,27797.30
1/11/2022,19,12864.80,12401.87,2649.14,81.62,27997.41
1/11/2022,20,12543.83,12116.29,2551.36,83.64,27295.12
1/11/2022,21,12206.90,11798.82,2452.33,84.85,26542.89
1/11/2022,22,11716.06,11419.25,2314.42,84.32,25534.04
1/11/2022,23,10899.17,10832.55,2134.42,82.83,23948.97
1/11/2022,24,10216.83,10218.27,1979.99,82.63,22497.72
1/12/2022,1,9915.09,9794.73,2030.61,83.32,21823.76
1/12/2022,2,9672.87,9479.63,1976.72,85.93,21215.16
1/12/2022,3,9503.14,9400.73,1936.02,89.16,20929.05
1/12/2022,4,9505.28,9442.04,1915.21,92.91,20955.43
1/12/2022,5,9789.70,9597.04,1934.83,98.83,21420.40
1/12/2022,6,10466.91,10219.29,2001.95,108.04,22796.21
1/12/2022,7,11580.07,11253.92,2261.58,117.36,25212.94
1/12/2022,8,12355.85,11756.94,2348.40,117.06,26578.25
1/12/2022,9,11999.40,11777.65,2255.42,102.54,26135.01
1/12/2022,10,11151.06,11564.33,2028.12,87.03,24830.53
1/12/2022,11,10325.41,11216.74,2008.46,75.14,23625.75
1/12/2022,12,9746.73,11101.65,1985.83,65.47,22899.69
1/12/2022,13,9436.52,11290.49,2032.44,58.65,22818.11
1/12/2022,14,9554.80,11361.80,1924.63,55.53,22896.77
1/12/2022,15,10085.07,11290.42,1990.23,54.24,23419.96
1/12/2022,16,10960.51,11438.88,2287.82,58.03,24745.24
1/12/2022,17,11714.49,11708.58,2585.71,65.95,26074.74
1/12/2022,18,12714.21,12499.57,2776.96,75.02,28065.75
1/12/2022,19,12780.49,12407.52,2655.57,78.16,27921.74
1/12/2022,20,12438.86,12148.76,2590.92,79.47,27258.01
1/12/2022,21,12050.70,11816.93,2493.61,80.09,26441.33
1/12/2022,22,11549.32,11510.16,2387.87,79.27,25526.61
1/12/2022,23,10752.09,10825.31,2203.37,77.52,23858.29
1/12/2022,24,10059.99,10286.34,2094.27,77.12,22517.71
1/13/2022,1,9818.95,9811.76,2054.58,77.91,21763.19
1/13/2022,2,9577.10,9577.27,1979.75,78.83,21212.94
1/13/2022,3,9429.37,9440.40,1881.65,80.77,20832.17
1/13/2022,4,9485.50,9420.16,1872.02,82.81,20860.49
1/13/2022,5,9633.82,9525.04,1877.80,89.09,21125.76
